,transe,simple,rotate,quate,distmult,complex
Q506040,0,0,3,0,0,3
Q386215,6,6,6,6,6,4
Q494259,3,0,3,3,0,3
Q1021686,9,0,9,0,3,0
Q191931,8,3,8,0,8,5
Q201996,4,0,4,0,0,0
Q907099,3,0,0,0,0,2
