Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.679,0.569,0.458,0.643,0.538,0.523
mug,Q386215,0.492,0.376,0.275,0.471,0.383,0.259
berkemeyer,Q820889,0.369,0.478,0.363,0.553,0.432,0.377
coffee cup,Q3235198,0.218,0.429,0.289,0.562,0.360,0.338
cage cup,Q448190,0.416,0.362,0.322,0.448,0.381,0.335
measuring cup,Q907099,0.415,0.298,0.184,0.383,0.247,0.243
Hurricane glass,Q5948399,0.366,0.419,0.283,0.438,0.418,0.341
