Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.6200208,0.5673714876174927,0.5450103878974915,0.6539114713668823,0.5475100874900818,0.5351974964141846
mug,Q386215,0.4693507,0.3676042556762695,0.3463125824928283,0.4936327040195465,0.3159165978431701,0.21506795287132263
berkemeyer,Q820889,0.33892325,0.4668188095092773,0.4258263707160949,0.5305256843566895,0.4051209390163421,0.34204667806625366
coffee cup,Q3235198,0.18389666,0.4351648092269897,0.3438238501548767,0.5316367149353027,0.3142809867858886,0.28372398018836975
cage cup,Q448190,0.31732392,0.3174662590026855,0.3133724927902221,0.4388636946678161,0.3778564631938934,0.28259068727493286
measuring cup,Q907099,0.38175428,0.2620496749877929,0.1302555501461029,0.3550570607185364,0.2335648238658905,0.21682757139205933
Hurricane glass,Q5948399,0.34921697,0.4322694540023803,0.3351335525512695,0.4298918545246124,0.3522287309169769,0.29770225286483765
