Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.6342137,0.557624101638794,0.4959627985954284,0.6315924525260925,0.5180313587188721,0.4990059435367584
mug,Q386215,0.46924183,0.3634008169174194,0.2875252366065979,0.5020645260810852,0.3177019953727722,0.23765935003757477
berkemeyer,Q820889,0.35769707,0.4807631969451904,0.3749864995479584,0.5519722700119019,0.4397201836109161,0.36124104261398315
coffee cup,Q3235198,0.15219864,0.4394134879112243,0.28125,0.54620361328125,0.3428839445114136,0.3058468699455261
cage cup,Q448190,0.32594895,0.3107338845729828,0.2925233542919159,0.4479628205299377,0.3831961154937744,0.29511693120002747
measuring cup,Q907099,0.3517011,0.279363751411438,0.0994166284799575,0.3820744156837463,0.2342588305473327,0.2331145703792572
Hurricane glass,Q5948399,0.35925233,0.421129047870636,0.2908357977867126,0.4432246387004852,0.3760098218917846,0.31413087248802185
