Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
wheelchair,Q191931,0.5148071,0.439774751663208,0.4172232747077942,0.4853653907775879,0.4149545133113861,0.30613404512405396
chair,Q15026,0.6866506,0.545071542263031,0.5142920613288879,0.5835744142532349,0.4874338507652282,0.5050431489944458
fauteuil,Q981009,0.4200663,0.485469102859497,0.4380047917366028,0.5994172692298889,0.3943221867084503,0.3694506287574768
wing chair,Q1847455,0.354331,0.3950209021568298,0.315683364868164,0.3867009878158569,0.3469865322113037,0.25954321026802063
litter,Q476850,0.35143268,0.480415403842926,0.3982916176319122,0.5322811007499695,0.4306019246578216,0.30898338556289673
rocking chair,Q14963,0.36535245,0.4792890250682831,0.3327305912971496,0.5246896743774414,0.3713623583316803,0.26647424697875977
Bergère,Q820539,0.24141736,0.2590568363666534,0.0380796566605567,0.4303472638130188,0.3063118457794189,0.22473783791065216
electric chair,Q185639,0.32756323,0.322486937046051,0.0915946811437606,0.3694257736206054,0.241342693567276,0.26830601692199707
office chair,Q1021686,0.517702,0.4098778963088989,0.3703377246856689,0.4574325978755951,0.373996764421463,0.253457635641098
high chair,Q1622390,0.34875822,0.4539053738117218,0.3189853429794311,0.5766024589538574,0.3852169215679168,0.3166249394416809
folding chair,Q1744391,0.31469437,0.4828778207302093,0.4129253029823303,0.5543349981307983,0.4038217663764953,0.3188115954399109
deckchair,Q1824203,0.37713596,0.4649272561073303,0.3122782111167907,0.5363860130310059,0.3912777006626129,0.2966669201850891
