Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
apple,Q89,0.41128764,0.558464765548706,0.4442916214466095,0.6359646320343018,0.5478056073188782,0.5432462096214294
table apple,Q3395974,0.2739374,0.4087241291999817,0.2842875123023987,0.4716059267520904,0.3813340067863464,0.3623790740966797
cooking apple,Q3395987,0.29774514,0.3801088333129883,0.2152157872915268,0.4571810960769653,0.3748190402984619,0.38448840379714966
cider apple,Q3029797,0.14914769,0.3095974624156952,0.1447519958019256,0.449646532535553,0.2793906629085541,0.30450350046157837
Golden Delicious,Q201996,0.26599297,0.3459923863410949,0.2974006533622741,0.4321919083595276,0.3348883390426636,0.29628831148147583
McIntosh,Q1144556,0.15675564,0.2896832823753357,0.2160032987594604,0.3699482083320617,0.2737531960010528,0.27326616644859314
Cox's Orange Pippin,Q492655,0.17521915,0.2467694282531738,0.1824145317077636,0.2966771721839905,0.2424112856388092,0.26794493198394775
Jonathan,Q494446,0.17557397,0.3446659743785858,0.2233269810676574,0.3990017473697662,0.3169811367988586,0.2741885483264923
Granny Smith,Q506040,0.24433926,0.328527957201004,0.2917655110359192,0.4369223117828369,0.3158680498600006,0.3146224319934845
Gala,Q494259,0.30885077,0.3150084018707275,0.3107260763645172,0.4733903110027313,0.2696582078933716,0.3111039996147156
Red Delicious,Q2117265,0.32071403,0.374092698097229,0.3120020627975464,0.4502509236335754,0.347197026014328,0.35069790482521057
Fuji,Q504893,0.17398646,0.2576987147331238,0.2210435271263122,0.3946370482444763,0.2993772327899933,0.28496789932250977
Antonovka,Q2446601,0.18750364,0.3850687444210052,0.1232596859335899,0.5064818859100342,0.398283839225769,0.29332149028778076
Braeburn,Q487367,0.15480217,0.3672571778297424,0.2257083356380462,0.4166869521141052,0.3780716061592102,0.2662697434425354
Gravenstein,Q489226,0.17876914,0.3375754356384277,0.1936377733945846,0.3714621067047119,0.5035460591316223,0.29842478036880493
