Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.634,0.558,0.496,0.632,0.518,0.499
mug,Q386215,0.469,0.363,0.288,0.502,0.318,0.238
berkemeyer,Q820889,0.358,0.481,0.375,0.552,0.440,0.361
coffee cup,Q3235198,0.152,0.439,0.281,0.546,0.343,0.306
cage cup,Q448190,0.326,0.311,0.293,0.448,0.383,0.295
measuring cup,Q907099,0.352,0.279,0.099,0.382,0.234,0.233
Hurricane glass,Q5948399,0.359,0.421,0.291,0.443,0.376,0.314
