Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.6920096,0.5540934801101685,0.5520786046981812,0.6507062911987305,0.5362716913223267,0.5110381841659546
mug,Q386215,0.5134229,0.3786220550537109,0.3456151485443115,0.4659959077835083,0.3852353096008301,0.246946781873703
berkemeyer,Q820889,0.3719979,0.4708485603332519,0.4316487908363342,0.5368672609329224,0.427166223526001,0.3844988942146301
coffee cup,Q3235198,0.24595354,0.4036493301391601,0.3442288339138031,0.5526769161224365,0.3386865258216858,0.33600693941116333
cage cup,Q448190,0.41284847,0.327850729227066,0.3611822128295898,0.4561147093772888,0.3689007461071014,0.31315186619758606
measuring cup,Q907099,0.42021167,0.2743943631649017,0.1689229756593704,0.3601332306861877,0.2129634171724319,0.2638869285583496
Hurricane glass,Q5948399,0.40075693,0.3975120186805725,0.338224858045578,0.4230530858039856,0.4005356431007385,0.3397972285747528
