Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
wheelchair,Q191931,0.48969644,0.4450010061264038,0.410312682390213,0.4924287497997284,0.4086099565029144,0.30006682872772217
chair,Q15026,0.65005904,0.5230518579483032,0.5041558742523193,0.5709131360054016,0.4920525252819061,0.48314404487609863
fauteuil,Q981009,0.40241113,0.4789901077747345,0.4282743334770202,0.5928139686584473,0.3893173336982727,0.3574274778366089
wing chair,Q1847455,0.3473813,0.4021921157836914,0.3032088577747345,0.3954346776008606,0.3409883081912994,0.26751482486724854
litter,Q476850,0.34110638,0.4657719731330871,0.3994362354278564,0.5309047698974609,0.4296562373638153,0.31115150451660156
rocking chair,Q14963,0.34887755,0.471292495727539,0.3238690495491028,0.5291947722434998,0.3591327667236328,0.2663595378398895
Bergère,Q820539,0.23349442,0.2609216272830963,0.0303663071244955,0.4209389984607696,0.2808505296707153,0.23387029767036438
electric chair,Q185639,0.29922205,0.3170002102851867,0.085585631430149,0.366263598203659,0.2453868836164474,0.26434287428855896
office chair,Q1021686,0.4854975,0.4199186861515045,0.3609769940376282,0.4430340826511383,0.3641429543495178,0.25294965505599976
high chair,Q1622390,0.33498344,0.4327568411827087,0.3221405446529388,0.5693763494491577,0.3874880075454712,0.3061163127422333
folding chair,Q1744391,0.30072677,0.4766316413879394,0.4042789936065674,0.5580955743789673,0.3950766324996948,0.31381791830062866
deckchair,Q1824203,0.36831754,0.4531221389770508,0.3010345697402954,0.5401452779769897,0.3778745234012604,0.2930680513381958
