Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
wheelchair,Q191931,0.49151078,0.4269310235977173,0.4060502648353576,0.486578494310379,0.4044592082500458,0.3183772563934326
chair,Q15026,0.6633607,0.5203216671943665,0.5101549625396729,0.5788891911506653,0.4911354184150696,0.5006982088088989
fauteuil,Q981009,0.41334897,0.4621315896511078,0.4239292442798614,0.5979164242744446,0.4006744921207428,0.35741013288497925
wing chair,Q1847455,0.34637213,0.3887720704078674,0.3138571679592132,0.3814224302768707,0.3154381513595581,0.2815808653831482
litter,Q476850,0.34934554,0.4300051927566528,0.3972352147102356,0.5205264091491699,0.4221845269203186,0.32952970266342163
rocking chair,Q14963,0.34664404,0.4388802051544189,0.3379854559898376,0.5133785009384155,0.3503935933113098,0.26571106910705566
Bergère,Q820539,0.22526774,0.243753045797348,0.0312027037143707,0.4140731394290924,0.2705948948860168,0.23814518749713898
electric chair,Q185639,0.3047831,0.3117872178554535,0.1000718772411346,0.3659795522689819,0.2444176226854324,0.2705690264701843
office chair,Q1021686,0.4821778,0.4008470475673675,0.365675687789917,0.4282663464546203,0.356660783290863,0.244951993227005
high chair,Q1622390,0.3364359,0.4183976650238037,0.3033678829669952,0.5391250252723694,0.3722601532936096,0.33304107189178467
folding chair,Q1744391,0.31157482,0.4420670866966247,0.4062688946723938,0.5359145402908325,0.3843111097812652,0.3248128890991211
deckchair,Q1824203,0.3667168,0.4143050014972687,0.3106242418289184,0.5190895795822144,0.3585814535617828,0.30091243982315063
