Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.72287995,0.5719569325447083,0.5564099550247192,0.6577737331390381,0.5520108342170715,0.5282726287841797
mug,Q386215,0.52212393,0.374314546585083,0.3305124640464782,0.4683641493320465,0.3815572559833526,0.25876888632774353
berkemeyer,Q820889,0.39684606,0.4777810573577881,0.4253746271133423,0.541509747505188,0.4241623282432556,0.3769545555114746
coffee cup,Q3235198,0.22686628,0.4184898436069488,0.3445996046066284,0.5546631813049316,0.3475651443004608,0.32717815041542053
cage cup,Q448190,0.43525943,0.3407974243164062,0.3652472496032715,0.4452826976776123,0.3741095960140228,0.33030757308006287
measuring cup,Q907099,0.4328369,0.2870092093944549,0.1670507937669754,0.3687790036201477,0.2369195818901062,0.24014613032341003
Hurricane glass,Q5948399,0.4006807,0.4152531027793884,0.3363037705421448,0.4239733815193176,0.4127715826034546,0.336861252784729
