Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.70576876,0.5406979322433472,0.564024806022644,0.6440848112106323,0.5443305373191833,0.5244722366333008
mug,Q386215,0.5260463,0.4009522795677185,0.3455560207366943,0.484397292137146,0.3480516970157623,0.23954924941062927
berkemeyer,Q820889,0.39866433,0.4654288291931152,0.440415620803833,0.5588335394859314,0.4315412938594818,0.35531893372535706
coffee cup,Q3235198,0.30193603,0.410433828830719,0.3507347702980041,0.5680007338523865,0.3273465037345886,0.34238508343696594
cage cup,Q448190,0.39801186,0.3217480182647705,0.3644663095474243,0.4790351688861847,0.3651148676872253,0.29745426774024963
measuring cup,Q907099,0.41840905,0.2673750519752502,0.1590057015419006,0.3628001809120178,0.2695490717887878,0.25392958521842957
Hurricane glass,Q5948399,0.43822518,0.4063228964805603,0.321302980184555,0.4372953176498413,0.4042345881462097,0.32902592420578003
