Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.63100505,0.5808173418045044,0.5329455733299255,0.6679009199142456,0.5599973201751709,0.5614673495292664
mug,Q386215,0.45589197,0.3500586450099945,0.3311627507209778,0.4601203799247741,0.3157086968421936,0.21958857774734497
berkemeyer,Q820889,0.34051132,0.4479934573173523,0.4237717986106872,0.5026381015777588,0.4003917574882507,0.3606361448764801
coffee cup,Q3235198,0.17363954,0.4062621593475342,0.3192264437675476,0.5066083669662476,0.3160482048988342,0.31198716163635254
cage cup,Q448190,0.32504776,0.3067087829113006,0.3062360882759094,0.4076542854309082,0.3444380760192871,0.2931762933731079
measuring cup,Q907099,0.35476208,0.2822617590427398,0.1252939254045486,0.3678554892539978,0.222336083650589,0.23384007811546326
Hurricane glass,Q5948399,0.34840542,0.4036043286323547,0.314043790102005,0.3969188928604126,0.3634374439716339,0.34302568435668945
