Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
wheelchair,Q191931,0.5231891,0.4431949257850647,0.436002254486084,0.4808776378631592,0.402296781539917,0.284517377614975
chair,Q15026,0.6936765,0.5657627582550049,0.5441616773605347,0.595698356628418,0.5075327157974243,0.5025756359100342
fauteuil,Q981009,0.44784,0.4990925788879394,0.4770439565181732,0.5986613035202026,0.4029830694198608,0.3439902663230896
wing chair,Q1847455,0.34985673,0.3834478557109833,0.3294012546539306,0.3750496506690979,0.3355639278888702,0.25585922598838806
litter,Q476850,0.3625704,0.4733259081840515,0.4345374405384063,0.5270726680755615,0.4139188230037689,0.3050355315208435
rocking chair,Q14963,0.34960726,0.4466873407363891,0.3543739318847656,0.5115112066268921,0.3742883205413818,0.2601820230484009
Bergère,Q820539,0.22836716,0.2423498332500457,0.0137076750397682,0.4195857644081116,0.2831200361251831,0.18310897052288055
electric chair,Q185639,0.3112461,0.2973614633083343,0.0938512533903122,0.3632523119449615,0.2415600568056106,0.2573848366737366
office chair,Q1021686,0.5041112,0.3950110077857971,0.3916433453559875,0.4253676235675812,0.3548043072223663,0.25148239731788635
high chair,Q1622390,0.34223133,0.4269570112228393,0.3328102231025696,0.572616696357727,0.407541960477829,0.30600279569625854
folding chair,Q1744391,0.31618664,0.4491602182388305,0.4324733018875122,0.5378395915031433,0.3936170935630798,0.2971475124359131
deckchair,Q1824203,0.3732232,0.4288971126079559,0.326972484588623,0.5217301249504089,0.3763205707073211,0.28204405307769775
