"Concept Name","WikiData ID","# of examples","transe",,,"simple",,,"rotate",,,"quate",,,"distmult",,,"complex",,
,,,"hits@1","hits@3","hits@5","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5"
"Mug","Q386215",6,1,1,1,0,0,1,0,0.333,1,0,1,1,0,1,1,0,0,0.666
"Measuring cup","Q907099",3,0,0.666,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666
"Office chair","Q1021686",9,0.222,1,1,0,0,0,0,0,1,0,0,0,0,0,0.333,0,0,0
"Wheelchair","Q191931",8,0.75,1,1,0,0,0.375,0,1,1,0,0,0,0,1,1,0,0,0.625
"Golden Delicious","Q201996",4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Granny Smith","Q506040",3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"Gala apple","Q494259",3,0,1,1,0,0,0,0,1,1,0,0.666,1,0,0,0,0,0,1
