Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.68918717,0.5506191253662109,0.5444332361221313,0.6541430950164795,0.5266845226287842,0.509140133857727
mug,Q386215,0.5122057,0.3782510757446289,0.3397778868675232,0.4665616154670715,0.3850892782211303,0.2489674985408783
berkemeyer,Q820889,0.37221974,0.4773840308189392,0.4269225895404815,0.5410128831863403,0.4209937751293182,0.3856602609157562
coffee cup,Q3235198,0.24808715,0.4041851460933685,0.3379633128643036,0.5505799055099487,0.3367049992084503,0.32701265811920166
cage cup,Q448190,0.41456836,0.344193696975708,0.3578045070171356,0.4599205255508423,0.3647242188453674,0.3240049481391907
measuring cup,Q907099,0.41932058,0.2689680159091949,0.1664919555187225,0.3616152703762054,0.225753903388977,0.25876176357269287
Hurricane glass,Q5948399,0.40331352,0.4063754677772522,0.3325091600418091,0.4273170828819275,0.3994588255882263,0.32431483268737793
