Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
cup,Q81727,0.67853814,0.5689799189567566,0.4582919478416443,0.6426184177398682,0.5375516414642334,0.5228481292724609
mug,Q386215,0.49211323,0.3761889636516571,0.2753417789936065,0.4712251424789428,0.3834295868873596,0.25933215022087097
berkemeyer,Q820889,0.36901182,0.4783154428005218,0.362753689289093,0.5531232953071594,0.4315497279167175,0.37737587094306946
coffee cup,Q3235198,0.21768796,0.4294635653495788,0.2886196374893188,0.5617246627807617,0.3595724403858185,0.33761468529701233
cage cup,Q448190,0.41644529,0.361573189496994,0.3220444619655609,0.4480369091033935,0.3813836574554443,0.33528411388397217
measuring cup,Q907099,0.41549653,0.2982481122016907,0.1843113154172897,0.383285641670227,0.2471910715103149,0.24345716834068298
Hurricane glass,Q5948399,0.3663361,0.4189637899398803,0.2832334041595459,0.4380474090576172,0.4177459180355072,0.34070706367492676
