Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
wheelchair,Q191931,0.5462585,0.4392520189285278,0.4447072148323059,0.4703181385993957,0.4037794172763824,0.2848389744758606
chair,Q15026,0.7274753,0.5927749872207642,0.5569014549255371,0.6078845858573914,0.4992494881153106,0.5192620754241943
fauteuil,Q981009,0.46499398,0.508715033531189,0.4897259473800659,0.6028228402137756,0.4053016602993011,0.3494648337364197
wing chair,Q1847455,0.3540874,0.3758743405342102,0.3434028029441833,0.3624085783958435,0.33749520778656,0.24364840984344482
litter,Q476850,0.37141824,0.4896494150161743,0.435846745967865,0.5254042148590088,0.4088006317615509,0.29836469888687134
rocking chair,Q14963,0.36315483,0.4535015523433685,0.3651019930839538,0.5026386976242065,0.3843566477298736,0.2562479078769684
Bergère,Q820539,0.23399769,0.2395349740982055,0.0204236693680286,0.4265934228897095,0.3060720264911651,0.16615106165409088
electric chair,Q185639,0.33768305,0.3017555773258209,0.100278303027153,0.3642323911190033,0.2345269620418548,0.25705569982528687
office chair,Q1021686,0.53329015,0.384113073348999,0.4029237627983093,0.4354563355445862,0.3599915504455566,0.2485841065645218
high chair,Q1622390,0.35363382,0.4482337534427643,0.3307725191116333,0.577232301235199,0.4031776189804077,0.31207922101020813
folding chair,Q1744391,0.3285854,0.4540157318115234,0.4429939389228821,0.5292860269546509,0.3981443047523498,0.2961556315422058
deckchair,Q1824203,0.37929237,0.4393961429595947,0.33975550532341,0.5134585499763489,0.3857159614562988,0.2805784046649933
