Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
wheelchair,Q191931,0.48865736,0.4286822080612182,0.4079394340515136,0.484701544046402,0.4058451354503631,0.30588671565055847
chair,Q15026,0.6574812,0.5295560359954834,0.508567214012146,0.5762777328491211,0.4897274672985077,0.48913338780403137
fauteuil,Q981009,0.4095629,0.4672461748123169,0.420579195022583,0.5917214155197144,0.3977520763874054,0.36107689142227173
wing chair,Q1847455,0.3458917,0.3931792080402374,0.3104053437709808,0.3783260583877563,0.3252793550491333,0.2853526175022125
litter,Q476850,0.34584346,0.4392268657684326,0.3951974809169769,0.5229095220565796,0.4332871437072754,0.3234179615974426
rocking chair,Q14963,0.34553403,0.4512922167778015,0.3351584076881408,0.5146365165710449,0.3644019365310669,0.2804281413555145
Bergère,Q820539,0.22479339,0.2570761442184448,0.0258525013923645,0.4187024235725403,0.2739121913909912,0.23121938109397888
electric chair,Q185639,0.30244684,0.313030481338501,0.1015810593962669,0.3628537654876709,0.2486385703086853,0.276741087436676
office chair,Q1021686,0.48078465,0.4068068265914917,0.3646259307861328,0.4306244254112243,0.3745518326759338,0.25488781929016113
high chair,Q1622390,0.33223706,0.4183416962623596,0.3072305917739868,0.5458985567092896,0.3680060505867004,0.3233558237552643
folding chair,Q1744391,0.3089435,0.4537503123283386,0.4045062363147735,0.5382396578788757,0.3975438475608825,0.3281850218772888
deckchair,Q1824203,0.3663165,0.4278259575366974,0.3068609237670898,0.5214431285858154,0.3713832199573517,0.3083745837211609
