Concept_name,WikiDataID,transe,simple,rotate,quate,distmult,complex
apple,Q89,0.4126925,0.5361356735229492,0.4541999697685241,0.6232057809829712,0.5205330848693848,0.5235491991043091
table apple,Q3395974,0.28772473,0.3964399099349975,0.296480268239975,0.4745897650718689,0.3756612539291382,0.3546847999095917
cooking apple,Q3395987,0.32413206,0.3684595227241516,0.2260134816169738,0.4549555778503418,0.3882507383823395,0.3776235282421112
cider apple,Q3029797,0.14562699,0.2964254915714264,0.1496809124946594,0.4480331540107727,0.2804454863071441,0.30485206842422485
Golden Delicious,Q201996,0.26668334,0.3565530180931091,0.3177880942821502,0.4260047376155853,0.3316085338592529,0.31512877345085144
McIntosh,Q1144556,0.15432572,0.3125219643115997,0.2246836274862289,0.3865190148353576,0.2760470807552337,0.26303285360336304
Cox's Orange Pippin,Q492655,0.17419386,0.2488718330860138,0.2086357325315475,0.296553760766983,0.2371611893177032,0.27251961827278137
Jonathan,Q494446,0.1799151,0.3342318534851074,0.2405726611614227,0.4047603607177734,0.3073093295097351,0.29491060972213745
Granny Smith,Q506040,0.23846155,0.3489692807197571,0.3023978173732757,0.4276349246501922,0.2987838089466095,0.32486674189567566
Gala,Q494259,0.30939645,0.3221570253372192,0.3275925815105438,0.4542447626590729,0.2610308825969696,0.322135329246521
Red Delicious,Q2117265,0.32380795,0.3770676851272583,0.3290347158908844,0.4441194236278534,0.3390839099884033,0.3650144338607788
Fuji,Q504893,0.17116311,0.2618805468082428,0.2417068183422088,0.3978704810142517,0.2924488186836242,0.27423524856567383
Antonovka,Q2446601,0.1910014,0.3696077466011047,0.1308600902557373,0.4960098266601562,0.3911388516426086,0.28801530599594116
Braeburn,Q487367,0.16596787,0.3810466825962066,0.2438137382268905,0.4157673418521881,0.3844101130962372,0.28858494758605957
Gravenstein,Q489226,0.20440415,0.3098177909851074,0.2194826900959015,0.3594937324523926,0.4956514537334442,0.2939086854457855
