,,,"transe",,,"simple",,,"rotate",,,"quate",,,"distmult",,,"complex",,
"Concept Name","WikiData ID","# of examples","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5","hits@1","hits@3","hits@5"
"Mug","Q386215",6,6,6,6,0,0,6,0,2,6,0,6,6,0,6,6,0,0,4
"Measuring cup","Q907099",3,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"Office chair","Q1021686",9,2,9,9,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0
"Wheelchair","Q191931",8,6,8,8,0,0,3,0,8,8,0,0,0,0,8,8,0,0,5
"Golden Delicious","Q201996",4,0,0,4,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0
"Granny Smith","Q506040",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gala apple","Q494259",3,0,3,3,0,0,0,0,3,3,0,2,3,0,0,0,0,0,3
