Concept_name,WikiDataID,TransE,DistMult
cup,Q81727,0.63421375,
mug,Q386215,0.46924183,
berkemeyer,Q820889,0.35769707,
coffee cup,Q3235198,0.15219864,
cage cup,Q448190,0.32594895,
measuring cup,Q907099,0.3517011,
Hurricane glass,Q5948399,0.35925233,
