Concept_name,WikiDataID,TransE,DistMult
cup,Q81727,0.70576876,
mug,Q386215,0.5260463,
berkemeyer,Q820889,0.39866433,
coffee cup,Q3235198,0.30193603,
cage cup,Q448190,0.39801186,
measuring cup,Q907099,0.41840905,
Hurricane glass,Q5948399,0.43822518,
