Concept_name,WikiDataID,TransE,DistMult
cup,Q81727,0.67853814,
mug,Q386215,0.49211323,
berkemeyer,Q820889,0.36901182,
coffee cup,Q3235198,0.21768796,
cage cup,Q448190,0.4164453,
measuring cup,Q907099,0.41549647,
Hurricane glass,Q5948399,0.3663361,
